# Enclosed Ideographic Supplement 1F200 - 1F2FF
1F200	squarehiraganahoka	SQUARE HIRAGANA HOKA
1F210	squaredcjkunifiedideograph624b	SQUARED CJK UNIFIED IDEOGRAPH-624B
1F211	squaredcjkunifiedideograph5b57	SQUARED CJK UNIFIED IDEOGRAPH-5B57
1F212	squaredcjkunifiedideograph53cc	SQUARED CJK UNIFIED IDEOGRAPH-53CC
1F213	squaredkatakanade	SQUARED KATAKANA DE
1F214	squaredcjkunifiedideograph4e8c	SQUARED CJK UNIFIED IDEOGRAPH-4E8C
1F215	squaredcjkunifiedideograph591a	SQUARED CJK UNIFIED IDEOGRAPH-591A
1F216	squaredcjkunifiedideograph89e3	SQUARED CJK UNIFIED IDEOGRAPH-89E3
1F217	squaredcjkunifiedideograph5929	SQUARED CJK UNIFIED IDEOGRAPH-5929
1F218	squaredcjkunifiedideograph4ea4	SQUARED CJK UNIFIED IDEOGRAPH-4EA4
1F219	squaredcjkunifiedideograph6620	SQUARED CJK UNIFIED IDEOGRAPH-6620
1F21A	squaredcjkunifiedideograph7121	SQUARED CJK UNIFIED IDEOGRAPH-7121
1F21B	squaredcjkunifiedideograph6599	SQUARED CJK UNIFIED IDEOGRAPH-6599
1F21C	squaredcjkunifiedideograph524d	SQUARED CJK UNIFIED IDEOGRAPH-524D
1F21D	squaredcjkunifiedideograph5f8c	SQUARED CJK UNIFIED IDEOGRAPH-5F8C
1F21E	squaredcjkunifiedideograph518d	SQUARED CJK UNIFIED IDEOGRAPH-518D
1F21F	squaredcjkunifiedideograph65b0	SQUARED CJK UNIFIED IDEOGRAPH-65B0
1F220	squaredcjkunifiedideograph521d	SQUARED CJK UNIFIED IDEOGRAPH-521D
1F221	squaredcjkunifiedideograph7d42	SQUARED CJK UNIFIED IDEOGRAPH-7D42
1F222	squaredcjkunifiedideograph751f	SQUARED CJK UNIFIED IDEOGRAPH-751F
1F223	squaredcjkunifiedideograph8ca9	SQUARED CJK UNIFIED IDEOGRAPH-8CA9
1F224	squaredcjkunifiedideograph58f0	SQUARED CJK UNIFIED IDEOGRAPH-58F0
1F225	squaredcjkunifiedideograph5439	SQUARED CJK UNIFIED IDEOGRAPH-5439
1F226	squaredcjkunifiedideograph6f14	SQUARED CJK UNIFIED IDEOGRAPH-6F14
1F227	squaredcjkunifiedideograph6295	SQUARED CJK UNIFIED IDEOGRAPH-6295
1F228	squaredcjkunifiedideograph6355	SQUARED CJK UNIFIED IDEOGRAPH-6355
1F229	squaredcjkunifiedideograph4e00	SQUARED CJK UNIFIED IDEOGRAPH-4E00
1F22A	squaredcjkunifiedideograph4e09	SQUARED CJK UNIFIED IDEOGRAPH-4E09
1F22B	squaredcjkunifiedideograph904a	SQUARED CJK UNIFIED IDEOGRAPH-904A
1F22C	squaredcjkunifiedideograph5de6	SQUARED CJK UNIFIED IDEOGRAPH-5DE6
1F22D	squaredcjkunifiedideograph4e2d	SQUARED CJK UNIFIED IDEOGRAPH-4E2D
1F22E	squaredcjkunifiedideograph53f3	SQUARED CJK UNIFIED IDEOGRAPH-53F3
1F22F	squaredcjkunifiedideograph6307	SQUARED CJK UNIFIED IDEOGRAPH-6307
1F230	squaredcjkunifiedideograph8d70	SQUARED CJK UNIFIED IDEOGRAPH-8D70
1F231	squaredcjkunifiedideograph6253	SQUARED CJK UNIFIED IDEOGRAPH-6253
1F240	tortoiseshellbracketedcjkunifiedideograph672c	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C
1F241	tortoiseshellbracketedcjkunifiedideograph4e09	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09
1F242	tortoiseshellbracketedcjkunifiedideograph4e8c	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C
1F243	tortoiseshellbracketedcjkunifiedideograph5b89	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89
1F244	tortoiseshellbracketedcjkunifiedideograph70b9	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9
1F245	tortoiseshellbracketedcjkunifiedideograph6253	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253
1F246	tortoiseshellbracketedcjkunifiedideograph76d7	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7
1F247	tortoiseshellbracketedcjkunifiedideograph52dd	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD
1F248	tortoiseshellbracketedcjkunifiedideograph6557	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557
