# Superscripts and Subscripts 02070 - 0209F
2070	zero.superior	SUPERSCRIPT ZERO
2071	i.superior	SUPERSCRIPT LATIN SMALL LETTER I
2074	four.superior	SUPERSCRIPT FOUR
2075	five.superior	SUPERSCRIPT FIVE
2076	six.superior	SUPERSCRIPT SIX
2077	seven.superior	SUPERSCRIPT SEVEN
2078	eight.superior	SUPERSCRIPT EIGHT
2079	nine.superior	SUPERSCRIPT NINE
207A	plus.superior	SUPERSCRIPT PLUS SIGN
207B	minus.superior	SUPERSCRIPT MINUS
207C	equal.superior	SUPERSCRIPT EQUALS SIGN
207D	parenleft.superior	SUPERSCRIPT LEFT PARENTHESIS
207E	parenright.superior	SUPERSCRIPT RIGHT PARENTHESIS
207F	n.superior	SUPERSCRIPT LATIN SMALL LETTER N
2080	zero.inferior	SUBSCRIPT ZERO
2081	one.inferior	SUBSCRIPT ONE
2082	two.inferior	SUBSCRIPT TWO
2083	three.inferior	SUBSCRIPT THREE
2084	four.inferior	SUBSCRIPT FOUR
2085	five.inferior	SUBSCRIPT FIVE
2086	six.inferior	SUBSCRIPT SIX
2087	seven.inferior	SUBSCRIPT SEVEN
2088	eight.inferior	SUBSCRIPT EIGHT
2089	nine.inferior	SUBSCRIPT NINE
208A	plus.inferior	SUBSCRIPT PLUS SIGN
208B	minus.inferior	SUBSCRIPT MINUS
208C	equal.inferior	SUBSCRIPT EQUALS SIGN
208D	parenleft.inferior	SUBSCRIPT LEFT PARENTHESIS
208E	parenright.inferior	SUBSCRIPT RIGHT PARENTHESIS
2090	a.inferior	LATIN SUBSCRIPT SMALL LETTER A
2091	e.inferior	LATIN SUBSCRIPT SMALL LETTER E
2092	o.inferior	LATIN SUBSCRIPT SMALL LETTER O
2093	x.inferior	LATIN SUBSCRIPT SMALL LETTER X
2094	schwa.inferior	LATIN SUBSCRIPT SMALL LETTER SCHWA
2095	h.inferior	LATIN SUBSCRIPT SMALL LETTER H
2096	k.inferior	LATIN SUBSCRIPT SMALL LETTER K
2097	l.inferior	LATIN SUBSCRIPT SMALL LETTER L
2098	m.inferior	LATIN SUBSCRIPT SMALL LETTER M
2099	n.inferior	LATIN SUBSCRIPT SMALL LETTER N
209A	p.inferior	LATIN SUBSCRIPT SMALL LETTER P
209B	s.inferior	LATIN SUBSCRIPT SMALL LETTER S
209C	t.inferior	LATIN SUBSCRIPT SMALL LETTER T
